Individual ID	Age average
VK477	975
VK478	975
VK479	975
VK48	975
VK50	975
VK51	975
VK53	975
VK265	900
VK266	900
VK268	900
VK108	850
VK217	850
VK29	800
VK30	800
VK303	800
VK306	800
VK308	800
VK309	800
VK31	800
VK33	800
VK34	800
VK35	800
VK39	800
VK395	800
VK396	800
VK397	800
VK398	800
VK399	800
VK40	800
VK400	800
VK401	800
VK402	800
VK403	800
VK404	800
VK405	800
VK406	800
VK407	800
VK42	800
VK424	800
VK425	800
VK426	800
VK427	800
VK517	800
VK527	800
H22	9,364
H26	9,364
NEO17	9,147
stg001	5,857
VK531	4,350
VK523	1,800
VK418	1,500
VK390	1,350
VK391	1,350
VK419	1,100
VK514	1,100
VK519	1,100
VK529	1,050
VK518	1,000
VK525	1,000
VK526	1,000
VK547	950
VK515	900
VK524	900
VK530	900
VK388	700
VK548	1,000
VK417	1,000
VK415	950
VK386	900
VK387	850
VK414	850
VK420	950
VK448	950
VK393	900
VK394	900
VK422	900
VK516	900
VK392	1,000
VK389	900
VK528	1,050
VK520	900
VK113	650
VK114	650
VK117	650
VK118	650
VK124	650
DA234	1,746
DA238	1,417
DA236	1,508
Ardu1	4,638
Ardu2	4,638
NEO306	4,498
RISE00	4,413
Kunila2	4,410
Kunila1	4,400
EKA1	4,240
V14	3,115
X10	3,070
V9	3,065
0LS11	2,905
X17	2,820
X08	2,820
X14	2,555
V16	2,510
X15	3,055
X11	2,910
V10	2,560
0LS10	2,615
VII4	2,530
V11	2,245
V12	2,150
X04	2,370
VK480	1,100
VK481	1,100
VK482	1,100
VK483	1,100
VK484	1,100
VK485	1,100
VK486	1,100
VK487	1,100
VK488	1,100
VK489	1,100
VK490	1,100
VK491	1,100
VK492	1,100
VK493	1,100
VK495	1,100
VK496	1,100
VK497	1,100
VK498	1,100
VK504	1,100
VK505	1,100
VK506	1,100
VK507	1,100
VK508	1,100
VK509	1,100
VK510	1,100
VK511	1,100
VK512	1,100
VK549	1,100
VK550	1,100
VK551	1,100
VK552	1,100
VK553	1,100
VK554	1,100
VK555	1,100
IIa	685
IIf	575
IVLS09KT	365
Latvia_HG1	8,308
Latvia_HG2	7,689
NEO307	7,456
Latvia_HG3	7,027
Latvia_MN1	6,064
Latvia_MN2	5,965
Latvia_LN1	4,833
DA171	1,600
NEO655	8,676
NEO657	8,676
NEO677	8,676
NEO658	8,676
NEO669	9,800
Vim2b	1,400
OC1	8,704
SC2	8,825
SC1	8,814
NEO672	8,814
NEO671	8,659
NEO674	5,590
GB1	5,378
NEO130	7,803
KO1	7,660
NEO137	7,592
NE2	7,124
NE1	7,139
NE5	7,050
NE6	7,052
NEO149	6,978
NEO145	6,749
NEO147	6,724
NEO140	6,716
NEO143	6,656
NEO142	6,625
NEO148	6,612
NE7	6,374
CO1	4,750
BR1	4,035
RISE373	3,741
RISE374	3,693
RISE479	3,700
RISE483	3,700
RISE484	3,700
RISE480	3,550
RISE247	3,629
BR2	3,140
DA195	2,692
DA194	2,339
DA198	2,453
DA197	2,456
DA191	2,481
SZ11	1,442
